kind,etag,id,content_details_video_id,content_details_video_published_at
youtube#playlistItem,KzpqJBwBs334i84Cve1rc3oVk7U,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLnRralZoX3BMeERr,tkjVh_pLxDk,2021-02-17T14:31:37Z
youtube#playlistItem,J-O_qNAhKrKUjbMxCq-FN8jag4E,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLm5WUXhfb1NuMzM0,nVQx_oSn334,2021-02-17T05:30:06Z
youtube#playlistItem,eiEmHlFzdYTEFIqiCICzK0oAsjI,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLk1NWE83bzlFT1lB,MMXO7o9EOYA,2021-02-16T05:30:00Z
youtube#playlistItem,cZK4GCCPchkkewEhGI7U84GKZoQ,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLm8wM05MbmtHdVpF,o03NLnkGuZE,2021-02-15T05:21:57Z
youtube#playlistItem,5I3opFQc-pIwBls3kRFXLIYTrkY,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmp6NTR1MFlyX0E0,jz54u0Yr_A4,2021-02-12T05:30:02Z
youtube#playlistItem,jmhsaOx_Tijvpaibu3bg7mxy-sc,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmEzUDJ1UEdaTGE0,a3P2uPGZLa4,2021-02-11T05:30:01Z
youtube#playlistItem,yT8X7jqkSCOkIx-hAv5UQr2Ob80,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLnNDejlSVjVBOXpr,sCz9RV5A9zk,2021-02-10T16:30:39Z
youtube#playlistItem,0bBechIGEPzYKkZdFhQbieG1wyQ,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmVGNFZFRVI5UUJZ,eF4VEER9QBY,2021-02-10T05:30:01Z
youtube#playlistItem,ulFYhc2b_RZQARYPsvdZy5gHOhY,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmpvREstVmFldF9F,joDK-Vaet_E,2021-02-09T05:30:05Z
youtube#playlistItem,padq4RfpZqNC-UMB4cc6qB69bAg,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLk9YVllXaVJaU1B3,OXVYWiRZSPw,2021-02-08T05:30:01Z
